x,y,land_area,Biodiversity Importance (Marine Integrated),Marine Intactness (2013),Biodiversity Importance (Marine Fish),Biodiversity Importance (Marine Crustacean),Biodiversity Importance (Shell),Biodiversity Importance (Seabird),Biodiversity Importance (Marine Mammal),Biodiversity Importance (Marine Algae),Biodiversity Importance (Coral),Biodiversity Importance (Marine Reptile),Marine Fish Species Richness,Marine Crustacean Species Richness,Shell Species Richness,Seabird Species Richness,Marine Mammal Species Richness,Marine Algae Species Richness,Coral Species Richness,Marine Reptile Species Richness,Biodiversity Importance (Marine Integrated) (Rank Percentile),Marine Intactness (2013) (Rank Percentile),Biodiversity Importance (Marine Fish) (Rank Percentile),Biodiversity Importance (Marine Crustacean) (Rank Percentile),Biodiversity Importance (Shell) (Rank Percentile),Biodiversity Importance (Seabird) (Rank Percentile),Biodiversity Importance (Marine Mammal) (Rank Percentile),Biodiversity Importance (Marine Algae) (Rank Percentile),Biodiversity Importance (Coral) (Rank Percentile),Biodiversity Importance (Marine Reptile) (Rank Percentile),Marine Fish Species Richness (Rank Percentile),Marine Crustacean Species Richness (Rank Percentile),Shell Species Richness (Rank Percentile),Seabird Species Richness (Rank Percentile),Marine Mammal Species Richness (Rank Percentile),Marine Algae Species Richness (Rank Percentile),Coral Species Richness (Rank Percentile),Marine Reptile Species Richness (Rank Percentile)
-170.75,-14.25,91.5939636230469,0.9952,0.5418,0.9985,0.9927,0.9906,0.9973,0.896,0.9943,0.9975,0.9557,1652.0,595.0,724.0,38.0,15.0,138.0,227.0,5.0,0.48000000000000265,68.4,0.14999999999999458,0.7299999999999973,0.9399999999999964,0.27000000000000357,10.399999999999999,0.5700000000000038,0.24999999999999467,4.430000000000001,1.9,2.3,1.4,1.2,11.5,4.1,2.6,8.6
-65.5833333333333,18.25,62.0078315734863,0.9998,0.5216,0.9988,0.999,0.9996,0.9845,0.9989,0.9976,0.9998,0.9973,2979.0,1420.0,1874.0,37.0,33.0,200.0,278.0,13.0,0.019999999999997797,72.3,0.11999999999999789,0.10000000000000009,0.039999999999995595,1.5499999999999958,0.10999999999999899,0.23999999999999577,0.019999999999997797,0.27000000000000357,0.1,0.0,0.0,1.3,0.9,0.6,1.4,2.8
-66.75,17.9166666666667,39.2373085021973,0.9992,0.3872,0.9986,0.9992,0.9988,0.9943,0.992,0.9963,0.9998,0.9787,2874.0,1483.0,1676.0,40.0,28.0,186.0,291.0,10.0,0.08000000000000229,89.9,0.13999999999999568,0.08000000000000229,0.11999999999999789,0.5700000000000038,0.8000000000000007,0.37000000000000366,0.019999999999997797,2.1299999999999986,0.2,0.0,0.0,0.9,1.9,0.9,1.1,3.9
-76.25,25.25,31.8579483032227,0.9991,0.7112,0.9986,0.9976,0.9995,0.9966,0.9949,0.9969,0.9994,0.9755,2882.0,1412.0,1896.0,45.0,33.0,198.0,280.0,8.0,0.09000000000000119,25.2,0.13999999999999568,0.23999999999999577,0.04999999999999449,0.33999999999999586,0.5099999999999993,0.30999999999999917,0.060000000000004494,2.4499999999999966,0.1,0.0,0.0,0.6,0.9,0.6,1.3,5.0
-66.25,18.4166666666667,267.354919433594,0.9977,0.3882,0.9962,0.9965,0.9973,0.9845,0.9913,0.9929,0.9993,0.9858,2607.0,1157.0,1442.0,26.0,27.0,170.0,257.0,12.0,0.22999999999999687,89.8,0.38000000000000256,0.34999999999999476,0.27000000000000357,1.5499999999999958,0.8700000000000041,0.7099999999999995,0.07000000000000339,1.419999999999999,0.4,0.2,0.1,4.3,2.2,1.6,1.8,3.1
-80.75,9.58333333333334,,0.9389,0.522,0.9549,0.9477,0.9643,0.806,0.8789,0.9321,0.9687,0.9344,739.0,423.0,320.0,8.0,15.0,46.0,51.0,5.0,6.110000000000005,72.2,4.510000000000003,5.230000000000001,3.5699999999999954,19.399999999999995,12.11,6.789999999999996,3.1299999999999994,6.559999999999999,5.3,4.4,4.2,30.3,11.5,17.9,9.5,8.6
-88.9166666666667,29.4166666666667,,0.9888,0.696,0.9942,0.9857,0.9919,0.9532,0.9927,0.9527,0.9591,0.9956,1213.0,590.0,612.0,13.0,27.0,92.0,25.0,11.0,1.1199999999999988,28.9,0.5800000000000027,1.429999999999998,0.8099999999999996,4.679999999999995,0.7299999999999973,4.73,4.090000000000005,0.43999999999999595,3.2,2.4,1.9,17.1,2.2,9.7,12.9,3.5
-64.75,17.75,132.549896240234,0.9767,0.3621,0.9862,0.9835,0.9806,0.9645,0.9585,0.9639,0.9881,0.9527,1721.0,741.0,611.0,30.0,22.0,102.0,130.0,7.0,2.3299999999999987,92.0,1.3800000000000034,1.649999999999996,1.9399999999999973,3.5499999999999976,4.149999999999999,3.610000000000002,1.1900000000000022,4.73,1.8,1.3,1.9,2.7,4.6,8.2,5.5,5.8
-94.9166666666667,29.5833333333333,18.6777992248535,0.9838,0.1189,0.98,0.976,0.9847,0.9604,0.9888,0.9255,0.842,0.998,515.0,284.0,213.0,14.0,20.0,34.0,3.0,8.0,1.6199999999999992,99.8,2.0000000000000018,2.400000000000002,1.529999999999998,3.959999999999997,1.1199999999999988,7.450000000000001,15.800000000000002,0.20000000000000018,6.4,7.3,6.0,15.1,6.1,20.6,34.2,5.0
-67.25,18.0833333333333,41.6502532958984,0.9998,0.444,0.999,0.9999,0.9999,0.9818,0.9871,0.997,0.9999,0.9879,3097.0,1797.0,1978.0,40.0,30.0,202.0,290.0,12.0,0.019999999999997797,84.1,0.10000000000000009,0.009999999999998899,0.009999999999998899,1.8199999999999994,1.2900000000000023,0.30000000000000027,0.009999999999998899,1.21,0.0,0.0,0.0,0.9,1.4,0.5,1.1,3.1
